Anger_Index ,Anger_Middle,Anger_Ring
202.41,171.3,168.2
201.84,170.37,167.02
200.98,169.22,165.79
200.48,168.83,165.27
200.31,168.9,165.47
200.06,169.01,165.58
199.74,168.85,165.46
198.95,168.18,164.9
197.43,167.03,163.79
196.1,165.95,162.65
195.63,165.75,162.52
195.28,165.85,162.64
194.91,166.01,162.82
194.39,165.76,162.62
193.67,165.3,162.27
192.99,164.69,161.43
192.52,164.18,160.74
192.36,163.95,160.33
192.34,164.05,160.36
192.36,164.25,160.46
192.43,164.36,160.52
192.34,164.13,160.17
192.16,163.79,159.68
191.87,163.23,158.99
191.72,162.93,158.73
191.56,162.88,158.63
191.66,163.04,158.73
191.68,163.06,158.59
191.67,162.86,158.34
191.26,162.31,157.68
190.71,161.81,156.97
190.53,161.66,156.6
190.63,161.83,156.73
190.8,162.06,156.92
190.87,162.24,157.09
190.78,162.16,156.91
190.35,161.8,156.54
189.75,161.16,155.83
189.39,160.76,155.16
189.42,160.84,155.22
189.59,160.97,155.43
189.56,160.84,155.25
189.46,160.54,154.87
189.18,159.92,154.11
188.98,159.25,153.33
188.95,158.98,152.72
189.02,158.8,152.49
189.02,158.64,152.26
188.9,158.52,152.06
188.6,158.25,151.69
187.58,157.49,150.85
186.08,156.06,149.34
185.78,155.68,149.04
185.67,155.56,148.92
185.75,155.64,149
185.82,155.82,149.12
185.72,155.73,149
185.23,155.2,148.42
184.8,154.13,147.4
184.42,153.13,146.61
184.33,152.91,146.54
184.37,152.96,146.62
184.46,152.97,146.67
184.47,152.76,146.33
184.38,152.32,145.84
183.81,151.43,145.05
183.04,150.73,144.4
182.3,150.38,144.24
182.24,150.51,144.4
182.36,150.56,144.44
182.43,150.51,144.4
182.31,150.35,144.22
181.63,149.98,143.74
180.23,149.1,143.09
179.5,148.38,142.52
179.1,147.99,142.37
179.03,147.98,142.41
178.96,148.03,142.46
178.5,147.9,142.34
177.52,147.76,142.24
176.19,147.24,141.89
174.75,146.45,141.23
174.18,145.8,140.56
173.66,145.23,139.83
173.15,144.69,139.14
172.47,144.14,138.59
171.39,143.49,138.24
169.4,142.49,137.87
166.97,141.49,137.4
164.7,140.66,136.9
163.48,140.18,136.21
162.6,139.75,135.36
161.83,138.99,134.31
160.77,138.18,133.42
158.88,137.07,132.47
157.55,136.48,132.19
157.31,136.49,132.28
157.17,136.71,132.31
157.01,136.64,132.11
156.73,136.3,131.61
155.83,135.61,130.83
153.56,134.35,129.8
151.55,133.28,129.15
151.4,133.03,128.91
151.4,133,128.82
151.66,133.05,128.68
151.75,133.04,128.3
151.62,132.82,127.56
151.12,132.42,126.54
149.54,131.45,124.87
148.62,130.75,123.75
148.67,130.62,123.48
148.84,130.73,123.58
148.97,130.71,123.54
148.99,130.56,123.45
148.75,130.21,123.06
148.53,129.69,122.7
148.21,129.12,122.24
148.36,128.89,121.7
148.6,128.82,120.93
148.68,128.44,119.73
148.55,127.8,118.26
148.18,126.78,116.52
147.14,125.4,114.96
144.86,123.41,113.32
143.51,122.48,112.48
142.72,121.99,111.96
142.3,121.82,111.87
141.8,121.54,111.68
141.16,121.3,111.55
140.12,120.93,111.33
138.2,120.1,111.03
136.63,119.24,110.39
136.64,119,109.79
136.93,118.85,109.13
136.99,118.58,108.23
136.9,117.91,107.09
136.62,116.99,105.64
135.95,115.59,103.74
134.63,113.67,101.73
134.2,113.31,101.38
134.2,113.37,101.47
134.39,113.53,101.59
134.41,113.62,101.66
134.33,113.47,101.53
134.13,113.27,101.33
133.64,112.77,100.87
132.47,111.82,100.11
130.23,110.14,98.82
127.28,108.18,97.12
125.24,106.6,95.39
124.06,105.94,94.3
123.87,105.84,93.83
123.9,105.75,93.52
123.74,105.69,93.13
123.59,105.51,92.7
122.96,105.08,92.14
121.51,104.22,91.44
119,102.9,90.27
115.57,100.94,88.83
