Anger_Index ,Anger_Middle,Anger_Ring
159.84,180.67,174.54
159.39,180.31,174.16
158.69,179.97,173.71
158.12,179.64,173.18
157.57,179.2,172.58
156.87,178.6,171.86
155.98,177.95,171.3
155.22,177.35,170.89
154.59,176.95,170.53
154.14,176.58,170.24
153.86,176.34,170.05
153.61,176.18,169.9
153.42,176.16,169.9
153.3,176.02,169.93
153.33,176.13,170.02
153.45,176.48,170.23
153.62,176.69,170.44
153.89,176.85,170.68
154.13,177.07,170.88
154.38,177.3,171.11
154.68,177.56,171.48
155.01,177.87,171.87
155.41,178.33,172.44
156.2,178.82,172.95
156.84,179.28,173.58
157.37,179.64,174.06
157.73,179.96,174.51
158.07,180.21,174.96
158.46,180.49,175.32
158.79,180.66,175.74
159.22,180.84,176.16
158.89,180.44,175.57
158.36,179.71,174.64
158.09,179.25,173.96
157.91,178.96,173.58
157.62,178.57,173.23
157.29,178.11,172.77
156.95,177.66,172.2
156.67,177.3,171.76
156.63,177.14,171.57
156.71,177.24,171.69
156.9,177.45,171.88
157.07,177.8,172.32
157.27,178,172.7
157.4,178.16,172.9
157.67,178.39,173.1
157.92,178.68,173.49
158.36,179.11,174.04
159.03,179.62,174.77
159.31,179.97,175.34
158.87,179.78,175.01
158.39,179.64,174.62
158.06,179.45,174.35
157.77,179.18,173.97
157.38,178.87,173.47
157.03,178.43,172.93
156.54,177.93,172.13
155.95,177.44,171.69
155.58,177.12,171.4
155.26,176.96,171.18
155.1,176.83,171.15
154.99,176.81,171.09
155.01,176.82,171.13
154.98,176.96,171.21
155.18,177.08,171.34
155.39,177.32,171.6
155.74,177.49,171.83
156.11,177.78,172.19
156.53,178.1,172.74
156.97,178.37,173.23
157.4,178.65,173.74
157.94,178.94,174.22
158.38,179.3,174.76
158.84,179.56,175.22
158.81,179.49,174.99
158.27,178.82,174.16
157.76,178.32,173.41
157.19,177.69,172.54
156.47,177.05,171.65
155.95,176.32,170.68
155.5,175.68,169.98
155.07,175.09,169.33
154.69,174.61,168.75
154.37,174.26,168.3
154.2,173.92,167.96
153.98,173.62,167.68
153.75,173.3,167.37
153.53,173.02,166.96
153.35,172.77,166.71
153.23,172.72,166.63
153.29,172.74,166.63
153.19,172.8,166.68
153.22,172.88,166.8
153.19,172.96,166.76
153.33,173.15,166.91
153.57,173.29,167.07
154.01,173.59,167.41
154.88,173.89,167.75
155.24,174.25,167.97
153.86,172.02,166.35
150.75,166.86,161.88
140.26,155.57,151.3
127.32,141.97,138.23
112.03,126.88,124.65
96.66,111.04,111.38
80.86,96.82,99.04
65.9,81.62,86.98
49.75,62.27,73.83
35.59,45.73,59.86
25.72,33.72,48.78
17.2,26.07,39.71
11.66,19.38,32.77
7.71,14.25,29.69
4.6,10.9,25.43
2.24,7.19,22.18
0.46,7.22,20.4
-1.11,5.88,19.21
-2.14,4.92,18.19
-2.92,4.29,17.24
-3.54,3.66,16.46
-4.06,3.46,15.97
-4.47,3.27,15.6
-4.65,2.96,15.23
-4.73,2.93,14.98
-4.74,2.77,14.76
-4.95,2.7,14.59
-5,2.54,14.42
-5.06,2.44,14.26
-5.03,2.55,14.12
-5.04,2.53,14.04
-5.03,2.62,14.09
-5.02,2.66,14.06
-5.08,2.75,14.13
-5.06,2.84,14.17
-5.06,2.75,14.13
-5.09,2.71,14.01
-5.07,2.68,13.93
-5.11,2.61,13.78
-5.1,2.54,13.76
-4.91,2.6,13.62
-4.96,2.67,13.67
-4.94,2.79,13.56
-4.93,2.74,13.53
-4.91,2.82,13.56
-4.89,2.88,13.63
-4.94,2.93,13.58
-4.88,2.84,13.51
-4.86,2.82,13.45
-4.87,2.86,13.41
-4.87,2.89,13.4
-4.89,2.93,13.45
-4.81,3.1,13.58
-4.72,3.3,13.7
-4.55,3.48,13.67
-4.51,3.58,13.73
-4.46,3.55,13.71
-4.5,3.54,13.67
-4.47,3.48,13.61
-4.39,3.54,13.5
-4.29,3.61,13.42
-4.17,3.7,13.38
-4.19,3.69,13.34
