Index finger,Middle finger,Ring  finger
80.1,84.9,76.35
81.6,86.51,77.72
83.44,88.41,79.26
85.3,90.31,80.76
87.16,92.31,82.47
89.11,94.34,84.34
91.12,96.49,86.37
93.23,98.6,88.46
95.88,100.61,90.54
98.65,102.66,92.78
101.27,103.15,94.86
103.7,104.84,96.85
106.27,106.7,98.99
108.6,108.34,100.86
111.1,110.07,102.86
113.42,111.67,104.79
115.67,113.1,105.35
117.78,114.61,107.06
119.93,116.29,108.79
121.98,117.71,110.5
124.08,119.12,112.23
126.05,120.71,113.92
127.92,121.99,115.41
129.68,123.28,116.85
131.53,124.8,118.37
133.43,126.18,119.95
135.26,127.59,121.52
137.13,128.96,123.06
138.96,130.51,124.64
140.74,131.88,126.24
142.37,133.37,127.93
144.08,134.89,129.72
145.74,136.44,131.84
147.66,138.32,133.96
149.46,139.9,136.05
151.22,141.75,137.95
152.9,143.3,139.77
154.48,144.77,141.38
155.91,146.24,143
157.2,147.75,144.52
158.35,149.01,146.01
159.54,150.26,147.52
160.7,151.68,148.93
161.56,152.68,150.14
162.29,153.52,151.23
162.95,154.39,152.23
163.53,155.3,153.19
164.14,156,154.08
164.79,156.79,155.05
165.31,157.48,155.88
165.8,158.19,156.76
166.24,158.9,157.46
166.67,159.34,158.14
167.01,159.84,158.76
167.24,160.24,159.25
167.42,160.59,159.76
167.43,160.91,160.15
167.45,161.21,160.54
167.53,161.44,160.89
167.59,161.66,161.26
167.59,161.9,161.6
167.64,162.32,161.93
167.62,162.53,162.21
167.68,162.73,162.59
167.7,162.9,162.76
167.67,162.99,162.89
167.61,163.08,163.01
167.52,163.08,163.09
167.42,163.12,163.24
167.3,163.14,163.35
167.27,163.2,163.62
167.14,163.26,163.72
167.08,163.28,163.86
166.94,163.24,164.02
166.83,163.25,164.13
166.8,163.22,164.27
166.74,163.2,164.4
166.66,163.17,164.51
166.58,163.21,164.59
166.52,163.22,164.65
166.48,163.28,164.75
166.31,163.22,164.8
166.21,163.14,164.84
166.16,163.06,164.87
166.12,163.1,164.94
166.1,163.08,164.98
166.03,163.07,164.99
166.05,163.09,165.07
166.07,163.15,165.12
166,163.14,165.15
166.08,163.13,165.21
166.1,163.14,165.24
166.05,163.18,165.26
166.08,163.25,165.28
166.12,163.24,165.36
166.1,163.28,165.4
166.11,163.26,165.44
166.11,163.31,165.45
166.15,163.37,165.48
166.16,163.36,165.49
166.15,163.41,165.52
166.17,163.42,165.55
166.15,163.43,165.59
166.16,163.44,165.58
166.16,163.46,165.61
166.11,163.42,165.58
166.09,163.41,165.56
166.06,163.41,165.57
166.07,163.42,165.59
166.16,163.42,165.69
166.13,163.46,165.71
166.13,163.44,165.69
166.13,163.42,165.73
166.07,163.42,165.73
166.09,163.43,165.74
166.08,163.44,165.78
166.08,163.47,165.78
166.11,163.51,165.8
166.11,163.55,165.84
166.14,163.54,165.88
166.09,163.49,165.92
166.15,163.51,165.89
166.14,163.54,165.9
166.12,163.58,165.91
166.2,163.57,165.92
166.18,163.57,165.95
166.18,163.58,166.03
166.2,163.59,166.01
166.14,163.59,166.05
166.15,163.6,166.03
166.17,163.64,166.05
166.18,163.63,166.07
166.24,163.65,166.14
166.23,163.67,166.14
166.24,163.67,166.2
166.25,163.61,166.2
166.17,163.62,166.21
166.21,163.59,166.21
166.2,163.6,166.25
166.19,163.6,166.2
166.21,163.58,166.27
166.18,163.6,166.29
166.18,163.6,166.34
166.18,163.56,166.34
166.16,163.55,166.3
166.16,163.55,166.33
166.18,163.6,166.36
166.22,163.63,166.38
166.23,163.62,166.39
166.2,163.62,166.39
166.22,163.64,166.44
166.19,163.64,166.44
166.17,163.62,166.46
166.22,163.64,166.51
166.24,163.68,166.5
166.27,163.67,166.49
166.26,163.7,166.52
166.2,163.66,166.52
166.16,163.62,166.5
166.16,163.65,166.47
166.1,163.58,166.41
166.18,163.58,166.44
166.13,163.54,166.39
166.2,163.53,166.38
166.17,163.47,166.33
166.18,163.43,166.27
166.15,163.36,166.21
166.13,163.25,166.09
166.01,163.1,165.97
166.01,162.99,165.74
165.93,162.88,165.6
165.83,162.71,165.41
165.76,162.56,165.19
165.68,162.37,164.91
165.57,162.13,164.61
165.12,161.74,164.1
164.5,161.23,163.43
163.96,160.68,162.7
163.46,160.17,162.04
163.07,159.68,161.38
162.51,159.15,160.77
162.02,158.56,160.14
161.43,157.88,159.32
160.53,157.01,158.13
159.37,155.7,156.48
157.59,153.95,154.26
155.3,151.75,151.58
152.39,149.12,148.37
149.12,146.14,144.84
145.52,143.15,141.15
141.93,140.35,137.69
138.54,137.67,134.65
135.55,135.4,132.27
133.18,133.43,130.29
131.09,131.6,128.52
128.8,129.76,126.64
126.63,127.93,124.78
124.55,126.16,123.1
122.67,124.56,121.54
121.21,123.36,120.29
120,122.31,119.19
118.9,121.37,118.21
117.79,120.38,117.2
116.58,119.32,116.35
115.24,118.09,115.05
113.58,116.53,113.55
111.93,114.93,111.95
110.45,113.63,110.63
109.41,112.64,109.63
108.56,111.81,108.84
107.8,111.08,108.15
106.98,110.39,107.51
106.07,109.52,106.7
104.93,108.48,107.28
103.68,107.34,106.35
102.39,106.05,105.18
101.15,104.86,104
99.92,103.72,102.95
98.82,102.72,102.09
97.79,101.86,101.23
96.71,100.94,100.35
95.33,99.95,99.37
93.6,98.96,98.39
92.6,98.04,97.43
